Player,Team,rating
Meg Lanning,AUS,749
Stafanie Taylor,WI,746
Alyssa Healy,AUS,741
Smriti Mandhana,IND,732
Amy Satterthwaite,NZ,723
Tammy Beaumont,ENG,716
Ellyse Perry,AUS,691
Lizelle Lee,SA,690
Laura Wolvaardt,SA,689
Mithali Raj,IND,687
