Player,Team,rating
Australia,15,2436
Meg Lanning,AUS,749
Stuart Broad,ENG,845
Neil Wagner,NZ,825
Tim Southee,NZ,811
Josh Hazlewood,AUS,805
Kagiso Rabada,SA,786
James Anderson,ENG,781
Mitchell Starc,AUS,774
Ravichandran Ashwin,IND,768
Jasprit Bumrah,IND,765
Ravindra Jadeja,IND,428
Jason Holder,WI,423
