Player,Team,rating
Australia,15,2436
India,15,"1,812"
England,14,"1,670"
South Africa,16,"1,713"
New Zealand,15,"1,384"
West Indies,12,"1,025"
Pakistan,12,927
Bangladesh,5,306
Sri Lanka,11,519
