Player,Team,rating
Kane Williamson,NZ,890
Steve Smith,AUS,900
Virat Kohli,IND,870
Marnus Labuschagne,AUS,866
Babar Azam,PAK,781
Ben Stokes,ENG,760
Ajinkya Rahane,IND,756
Cheteshwar Pujara,IND,753
Henry Nicholls,NZ,747
David Warner,AUS,745
