Player,Team,rating
Stuart Broad,ENG,845
Neil Wagner,NZ,833
Tim Southee,NZ,826
Mitchell Starc,AUS,804
Kagiso Rabada,SA,794
Ravichandran Ashwin,IND,793
Josh Hazlewood,AUS,790
Jasprit Bumrah,IND,783
James Anderson,ENG,781
Jason Holder,WI,423
Ravindra Jadeja,IND,416
